date,location,dayLength,dayLengthSeconds
2021-01-30,"Copenhagen",08:35:48,30948
2021-01-30,"Queenstown, New Zealand",14:37:59,52679
2021-01-30,"Torres del Paine, Chile",15:13:10,54790
2021-01-30,"Cape Town",13:46:08,49568
2021-01-30,"Hong Kong",11:08:13,40093
2021-01-30,"Tromsø, Norway",04:55:20,17720
2021-01-30,"Wells, Maine",09:53:25,35605
2021-01-30,"New York",10:05:15,36315
2021-01-31,"Copenhagen",08:39:47,31187
2021-01-31,"Los Angeles",10:33:24,38004
2021-01-31,"Kigali, Rwanda",12:12:01,43921
2021-01-31,"Cape Town",13:44:24,49464
2021-01-31,"Tromsø, Norway",05:06:11,18371
2021-01-31,"Wells, Maine",09:55:50,35750
2021-01-31,"Anchorage, Alaska",07:47:33,28053
2021-01-31,"Torres del Paine, Chile",15:09:49,54589
2021-01-31,"Hong Kong",11:09:13,40153
2021-01-31,"New York",10:07:26,36446
2021-01-31,"Queenstown, New Zealand",14:35:22,52522
2021-02-01,"Wells, Maine",09:58:17,35897
2021-02-01,"Copenhagen",08:43:48,31428
2021-02-01,"Hong Kong",11:10:14,40214
2021-02-01,"Torres del Paine, Chile",15:06:24,54384
2021-02-01,"Queenstown, New Zealand",14:32:42,52362
2021-02-01,"Kigali, Rwanda",12:11:55,43915
2021-02-01,"Los Angeles",10:35:07,38107
2021-02-01,"New York",10:09:39,36579
2021-02-01,"Anchorage, Alaska",07:52:54,28374
2021-02-01,"Cape Town",13:42:40,49360
2021-02-01,"Tromsø, Norway",05:16:54,19014
2021-02-02,"Hong Kong",11:11:17,40277
2021-02-02,"New York",10:11:53,36713
2021-02-02,"Tromsø, Norway",05:27:27,19647
2021-02-02,"Anchorage, Alaska",07:58:17,28697
2021-02-02,"Queenstown, New Zealand",14:30:01,52201
2021-02-02,"Torres del Paine, Chile",15:02:58,54178
2021-02-02,"Cape Town",13:40:54,49254
2021-02-02,"Los Angeles",10:36:51,38211
2021-02-02,"Kigali, Rwanda",12:11:49,43909
2021-02-02,"Wells, Maine",10:00:45,36045
2021-02-02,"Copenhagen",08:47:52,31672
2021-02-03,"Copenhagen",08:51:58,31918
2021-02-03,"Los Angeles",10:38:38,38318
2021-02-03,"Hong Kong",11:12:19,40339
2021-02-03,"Cape Town",13:39:07,49147
2021-02-03,"Torres del Paine, Chile",14:59:29,53969
2021-02-03,"Kigali, Rwanda",12:11:43,43903
2021-02-03,"New York",10:14:10,36850
2021-02-03,"Anchorage, Alaska",08:03:42,29022
2021-02-03,"Wells, Maine",10:03:15,36195
2021-02-03,"Queenstown, New Zealand",14:27:18,52038
2021-02-03,"Tromsø, Norway",05:37:52,20272
2021-02-04,"Torres del Paine, Chile",14:55:59,53759
2021-02-04,"Hong Kong",11:13:24,40404
2021-02-04,"Queenstown, New Zealand",14:24:32,51872
2021-02-04,"New York",10:16:27,36987
2021-02-04,"Wells, Maine",10:05:47,36347
2021-02-04,"Kigali, Rwanda",12:11:37,43897
2021-02-04,"Tromsø, Norway",05:48:09,20889
2021-02-04,"Copenhagen",08:56:07,32167
2021-02-04,"Los Angeles",10:40:24,38424
2021-02-04,"Cape Town",13:37:18,49038
2021-02-04,"Anchorage, Alaska",08:09:08,29348
2021-02-05,"Kigali, Rwanda",12:11:30,43890
2021-02-05,"Anchorage, Alaska",08:14:37,29677
2021-02-05,"Hong Kong",11:14:28,40468
2021-02-05,"Tromsø, Norway",05:58:20,21500
2021-02-05,"Wells, Maine",10:08:21,36501
2021-02-05,"Copenhagen",09:00:17,32417
2021-02-05,"New York",10:18:47,37127
2021-02-05,"Cape Town",13:35:29,48929
2021-02-05,"Torres del Paine, Chile",14:52:28,53548
2021-02-05,"Queenstown, New Zealand",14:21:45,51705
2021-02-05,"Los Angeles",10:42:13,38533
2021-02-06,"Kigali, Rwanda",12:11:24,43884
2021-02-06,"Tromsø, Norway",06:08:24,22104
2021-02-06,"Los Angeles",10:44:03,38643
2021-02-06,"Copenhagen",09:04:29,32669
2021-02-06,"Cape Town",13:33:38,48818
2021-02-06,"Hong Kong",11:15:34,40534
2021-02-06,"Wells, Maine",10:10:56,36656
2021-02-06,"Torres del Paine, Chile",14:48:54,53334
2021-02-06,"Anchorage, Alaska",08:20:07,30007
2021-02-06,"Queenstown, New Zealand",14:18:57,51537
2021-02-06,"New York",10:21:08,37268
2021-02-07,"Kigali, Rwanda",12:11:18,43878
2021-02-07,"Wells, Maine",10:13:33,36813
2021-02-07,"Queenstown, New Zealand",14:16:07,51367
2021-02-07,"Los Angeles",10:45:53,38753
2021-02-07,"New York",10:23:30,37410
2021-02-07,"Anchorage, Alaska",08:25:38,30338
2021-02-07,"Cape Town",13:31:46,48706
